IQ,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
113,10.19,8,1,3,4,5,1
95,8.91,3,1,6,10,3,1
120,8.99,3,1,10,10,2,1
113,9.46,7,0,7,9,5,1
113,9.87,2,0,2,8,5,1
115,6.66,4,0,9,8,5,1
131,10.19,10,1,9,9,3,1
89,9.74,9,1,1,10,3,1
126,9.32,7,0,7,8,1,1
90,8.67,1,0,8,8,4,1
91,9.19,2,0,1,9,4,1
132,4.9,8,0,6,8,5,1
123,7.28,9,0,5,8,5,1
125,9.48,10,1,4,9,3,1
93,8.7,2,1,10,9,4,1
122,8.06,4,1,8,4,2,1
117,9.84,10,0,9,2,5,1
108,9.85,4,1,3,8,5,1
117,7.1,3,1,1,8,4,1
92,10.0,10,0,2,8,5,1
107,9.68,6,1,0,9,4,1
114,8.08,8,1,3,3,3,1
122,9.52,9,1,0,5,3,1
114,9.17,8,0,8,7,4,1
84,8.88,5,0,8,9,5,1
113,10.17,9,1,9,8,5,1
115,5.37,2,0,2,8,2,1
116,8.37,6,0,0,10,5,1
117,8.5,9,0,3,10,1,1
124,8.05,6,1,0,3,2,1
104,9.07,9,1,0,8,5,1
88,9.58,8,0,5,10,4,1
104,9.81,6,0,9,10,4,1
96,9.64,2,0,8,9,3,1
114,7.46,10,0,8,10,2,1
117,8.82,1,0,0,4,5,1
123,6.13,3,0,8,9,2,1
124,10.25,5,0,9,7,4,1
114,7.72,8,0,6,9,4,1
115,8.4,8,1,8,8,1,1
136,9.51,8,0,6,10,0,1
120,5.56,9,1,9,9,5,1
113,5.79,7,1,5,10,4,1
114,5.98,7,0,5,8,3,1
99,8.91,9,0,2,8,3,1
100,8.51,3,1,3,9,3,1
89,9.88,3,0,6,10,3,1
138,9.5,8,1,3,4,4,1
124,8.75,8,1,2,6,2,1
103,9.06,6,0,1,8,2,1
118,6.13,3,0,7,9,4,1
108,8.76,5,1,3,10,5,1
118,8.73,10,1,0,2,3,1
114,9.06,5,0,8,8,2,1
80,8.75,4,0,2,10,3,1
107,8.54,10,0,9,10,3,1
104,9.19,6,0,10,8,5,1
85,8.96,10,0,4,8,4,1
118,8.89,7,0,0,10,3,1
100,9.49,2,1,4,8,3,1
117,9.88,7,0,5,4,5,1
77,8.94,3,1,4,10,5,1
79,9.4,7,1,8,9,2,1
82,9.59,5,1,1,9,2,1
111,6.27,4,0,5,9,5,1
122,8.63,1,0,4,8,2,1
111,8.37,2,1,3,9,3,1
123,9.69,4,0,9,8,2,1
88,8.67,4,1,6,10,4,1
130,9.09,1,0,5,9,3,1
118,9.46,5,1,1,7,5,1
114,6.72,5,1,9,8,2,1
132,8.63,3,0,1,6,4,1
122,8.34,6,0,2,4,5,1
94,9.48,1,1,2,10,5,1
70,9.79,4,0,2,8,2,1
130,8.74,8,1,6,1,3,1
83,8.86,1,0,10,9,2,1
104,8.2,4,0,3,10,5,1
112,9.22,4,0,9,10,5,1
112,8.61,8,0,6,2,2,1
96,8.78,1,0,2,9,2,1
111,8.03,6,0,4,9,0,1
119,8.38,5,0,7,9,0,1
117,8.71,7,1,4,3,3,1
125,8.29,2,0,9,10,5,1
123,8.84,5,0,1,2,3,1
111,6.32,6,1,3,8,5,1
87,8.89,6,0,5,8,2,1
114,9.81,3,1,9,7,5,1
122,8.29,8,0,10,10,4,1
98,9.33,1,0,3,10,2,1
122,7.69,4,1,2,10,2,1
127,10.05,6,1,0,1,2,1
108,8.29,8,0,3,8,2,1
116,8.66,2,1,10,3,5,1
56,9.38,7,1,6,8,2,1
93,10.16,7,0,1,10,3,1
87,10.37,8,1,1,9,3,1
113,8.42,8,1,0,9,3,1
95,9.16,2,1,1,9,5,1
101,9.53,5,1,1,10,4,1
107,10.34,3,1,9,8,4,1
76,9.96,6,1,4,10,3,1
75,8.68,7,0,7,8,2,1
117,10.2,4,0,6,1,3,1
110,9.54,9,0,1,10,4,1
113,8.97,3,1,5,2,4,1
97,9.15,5,1,6,9,4,1
120,6.21,8,0,2,8,5,1
113,9.04,10,1,10,1,5,1
117,9.36,3,0,1,7,5,1
119,9.01,5,0,0,2,5,1
115,8.38,3,0,4,7,4,1
114,8.45,6,1,0,10,2,1
112,7.63,4,1,1,9,2,1
95,9.67,4,1,5,10,3,1
118,10.1,8,0,9,9,5,1
108,9.47,8,0,5,10,2,1
113,10.1,1,1,1,3,3,1
129,8.99,9,0,0,4,2,1
109,9.71,8,0,7,8,5,1
116,8.41,5,0,0,5,5,1
128,9.35,8,0,10,1,3,1
85,8.1,6,0,4,8,5,1
112,8.29,10,1,0,8,2,1
109,9.38,5,0,4,10,4,1
105,9.27,7,1,0,8,5,1
111,5.07,6,1,9,10,2,1
75,9.27,3,0,8,9,5,1
117,8.8,9,0,9,6,2,1
86,8.36,3,0,8,8,5,1
114,8.36,3,0,5,8,2,1
115,8.16,8,0,1,6,4,1
59,10.29,2,0,10,9,4,1
90,10.2,5,1,8,8,2,1
114,8.59,6,1,8,9,1,1
124,8.22,9,1,8,5,2,1
119,5.57,1,0,5,10,3,1
101,10.1,4,0,0,10,4,1
80,8.8,5,0,6,8,4,1
95,9.82,4,0,8,8,5,1
116,6.64,10,0,9,8,4,1
128,8.07,7,0,10,6,4,1
76,9.79,9,0,6,9,3,1
113,10.18,4,0,9,2,4,1
96,9.45,10,0,1,9,3,1
91,9.54,6,1,1,9,4,1
113,9.56,9,0,10,7,4,1
120,7.93,1,0,9,10,5,1
111,7.58,10,0,8,8,4,1
115,8.39,4,1,7,5,5,1
83,9.01,4,1,2,9,4,1
111,8.31,5,0,2,5,3,1
120,6.6,8,0,6,9,2,1
123,5.45,6,1,6,10,2,1
105,9.48,4,0,0,8,4,1
125,5.29,1,0,7,9,4,1
133,5.64,8,0,0,9,3,1
116,9.68,5,1,8,1,5,1
129,10.2,9,1,4,2,5,1
116,8.85,7,1,7,4,3,1
94,8.62,3,0,5,8,4,1
73,8.73,9,1,0,10,5,1
86,9.01,1,0,0,8,3,1
120,9.85,6,1,1,7,5,1
147,7.14,4,0,0,8,2,1
99,8.72,4,0,1,10,2,1
107,9.31,5,0,1,9,5,1
108,8.84,6,0,9,9,4,1
102,8.5,1,1,10,8,5,1
116,8.79,9,0,2,4,5,1
88,9.63,4,0,4,10,3,1
106,8.34,7,1,10,9,4,1
112,5.69,1,0,9,10,2,1
117,9.29,8,0,9,7,5,1
116,8.13,10,0,3,1,5,1
103,9.07,9,0,1,10,3,1
114,9.02,9,1,8,8,2,1
112,8.93,1,1,2,9,4,1
120,8.92,5,1,1,9,2,1
115,8.05,10,1,6,10,0,1
141,8.12,6,0,4,10,4,1
105,9.73,7,0,9,8,3,1
102,9.78,3,0,6,9,4,1
92,10.01,2,0,5,8,5,1
112,10.11,1,1,5,5,4,1
91,8.01,8,0,10,10,5,1
113,9.46,2,0,10,9,2,1
114,9.81,6,0,0,4,5,1
121,7.71,1,0,10,8,3,1
115,4.87,7,1,1,8,5,1
86,9.1,8,0,2,10,5,1
116,8.85,8,0,2,1,4,1
111,9.57,7,0,9,9,4,1
61,8.65,7,0,4,10,3,1
100,8.38,2,1,6,8,5,1
116,9.1,4,1,7,4,5,1
100,9.01,8,0,5,9,5,1
123,8.07,5,0,1,5,4,1
83,8.64,3,0,8,10,3,1
123,9.42,10,1,10,9,3,1
130,7.18,10,1,5,9,2,1
120,9.05,7,1,5,3,3,1
122,8.43,6,0,1,5,4,1
113,9.3,2,0,0,4,5,1
131,6.92,2,1,1,8,5,1
111,8.64,7,0,3,2,5,1
119,9.04,6,1,0,5,2,1
100,8.97,3,0,8,10,4,1
124,8.33,3,0,1,3,3,1
96,8.46,7,0,9,10,3,1
121,9.65,4,1,1,9,0,1
114,7.16,4,0,2,9,2,1
87,9.34,10,1,10,9,2,1
121,9.06,2,0,2,2,5,1
126,8.7,6,0,5,9,5,1
111,9.69,10,0,7,10,1,1
125,7.61,3,1,6,9,3,1
94,8.08,8,0,10,10,3,1
116,6.91,2,0,10,10,5,1
116,9.94,10,0,0,9,4,1
123,10.03,9,0,0,10,2,1
91,8.35,3,1,0,10,5,1
74,9.1,1,1,3,9,4,1
94,8.15,10,1,8,10,3,1
86,8.31,9,0,9,10,3,1
113,6.14,9,1,5,9,2,1
115,8.16,4,0,0,5,4,1
102,9.75,6,0,1,8,5,1
125,8.52,1,0,1,2,2,1
112,5.23,4,0,6,9,2,1
115,7.13,9,0,4,10,3,1
105,9.4,6,0,10,8,3,1
115,8.1,7,0,8,3,3,1
116,6.52,3,0,3,10,2,1
108,8.47,3,0,7,9,5,1
112,9.86,9,0,9,9,0,1
126,8.34,2,1,0,5,2,1
80,8.96,10,0,2,9,4,1
96,9.39,4,1,10,9,4,1
122,8.42,8,0,6,10,3,1
135,9.48,9,0,7,6,3,1
121,9.69,5,0,6,3,5,1
125,5.11,4,1,1,8,2,1
129,8.55,8,1,9,10,5,1
108,8.37,4,0,7,10,2,1
114,8.46,6,0,5,8,3,1
144,9.88,3,1,8,6,2,1
118,8.95,5,1,7,3,5,1
130,8.61,1,0,3,3,5,1
83,9.41,7,0,10,9,3,1
86,8.01,7,0,3,9,2,1
136,9.04,5,0,0,2,2,1
115,9.45,9,0,0,10,1,1
128,9.78,7,1,8,3,2,1
105,10.14,4,1,1,10,4,1
86,9.21,8,0,5,9,5,1
112,7.02,2,0,3,10,2,1
139,7.04,10,0,6,8,5,1
104,8.92,7,0,1,8,5,1
126,6.34,9,1,5,9,3,1
118,8.05,8,0,1,3,3,1
118,8.55,2,0,4,3,3,1
119,8.49,5,0,0,8,1,1
99,9.07,10,0,2,9,3,1
121,9.72,3,0,6,6,5,1
110,8.36,3,0,4,9,3,1
111,9.9,4,0,0,6,4,1
121,8.9,7,1,6,1,5,1
125,6.54,9,0,0,10,3,1
114,5.04,6,0,4,10,4,1
84,8.14,4,0,1,10,2,1
127,9.21,4,0,5,4,2,1
115,8.45,10,1,7,2,2,1
112,9.43,6,0,6,2,2,1
85,9.94,8,1,9,8,4,1
103,8.45,2,0,0,10,5,1
116,7.37,4,0,4,9,2,1
115,8.41,7,0,8,8,0,1
123,8.97,1,0,4,2,4,1
113,8.2,8,0,7,1,2,1
100,9.5,3,1,6,8,5,1
115,9.47,3,1,8,3,4,1
120,7.02,10,0,3,9,4,1
118,8.1,3,0,3,5,3,1
125,8.81,2,0,3,4,5,1
129,8.78,8,0,8,6,2,1
123,8.39,9,1,0,2,2,1
112,8.56,1,1,1,7,5,1
92,8.71,3,0,1,10,4,1
113,6.7,5,1,1,8,4,1
108,8.06,8,1,2,10,4,1
91,8.03,8,0,3,9,5,1
94,9.08,2,0,3,9,2,1
113,8.27,4,0,5,7,4,1
126,7.76,5,0,0,10,3,1
127,7.66,6,0,1,8,3,1
112,8.8,1,1,2,7,5,1
112,8.63,3,0,2,9,3,1
125,6.97,5,1,8,10,5,1
114,7.19,2,1,2,8,5,1
123,9.95,1,0,2,3,3,1
124,9.03,3,0,5,9,3,1
133,9.07,1,1,6,9,0,1
112,8.35,8,0,3,9,2,1
89,8.03,10,1,2,10,3,1
110,8.39,1,0,3,9,4,1
118,8.41,7,0,0,8,5,1
86,8.81,2,1,3,10,3,1
89,8.06,1,1,7,10,5,1
68,9.09,9,0,6,8,3,1
120,9.32,4,0,1,8,1,1
105,9.3,5,0,8,8,5,1
102,9.84,5,1,6,9,3,1
111,7.92,5,1,7,9,3,1
158,5.89,8,0,5,8,3,1
91,9.47,6,1,2,9,5,1
89,9.31,10,1,9,8,5,1
114,9.55,2,0,3,8,5,1
114,9.94,8,0,5,4,3,1
113,8.08,3,1,1,7,3,1
122,8.77,2,1,1,2,2,1
94,8.51,2,0,6,9,3,1
114,8.68,5,0,5,5,4,1
93,8.01,2,0,8,8,2,1
118,9.96,10,1,9,5,2,1
111,7.41,7,0,0,10,3,1
126,8.54,10,0,4,5,4,1
117,8.33,4,0,9,8,4,1
118,9.83,6,0,0,8,4,1
71,8.7,4,0,0,8,4,1
87,10.1,5,1,1,8,2,1
75,8.46,1,0,8,8,5,1
98,8.82,10,1,8,8,2,1
71,8.06,2,0,3,10,2,1
79,9.09,6,0,8,9,5,1
76,9.39,7,0,1,10,5,1
116,6.26,1,0,10,9,4,1
115,8.59,1,0,9,7,3,1
93,9.81,6,0,6,8,2,1
117,8.41,3,1,2,9,0,1
94,9.8,10,0,0,10,3,1
117,8.71,8,1,5,10,4,1
126,8.55,2,0,10,9,1,1
92,9.05,2,0,6,10,3,1
124,8.96,6,1,6,10,5,1
127,8.18,10,0,10,10,2,1
118,5.95,7,1,3,8,2,1
112,6.1,4,0,1,9,4,1
124,6.56,5,0,2,8,4,1
95,9.85,9,1,2,10,5,1
115,5.92,6,0,9,8,5,1
111,9.22,3,1,8,4,5,1
95,8.76,4,0,3,10,5,1
112,9.52,8,1,9,1,2,1
86,9.33,6,0,4,9,3,1
98,9.77,7,0,9,8,2,1
109,9.28,6,0,5,8,4,1
114,8.71,5,1,1,9,5,1
85,8.74,2,0,3,9,4,1
112,9.23,1,0,2,3,5,1
126,5.47,9,1,3,8,5,1
75,8.71,2,0,7,8,4,1
111,9.59,10,1,7,1,5,1
115,8.44,9,0,4,8,2,1
106,9.67,3,1,7,9,3,1
109,9.61,3,1,1,8,5,1
115,10.05,1,0,8,5,4,1
117,5.64,2,0,10,9,2,1
121,9.23,2,0,10,9,1,1
120,6.06,4,0,1,9,2,1
67,9.99,1,0,5,9,4,1
121,8.04,7,0,3,7,2,1
119,8.12,10,0,0,7,4,1
105,9.34,1,0,5,9,4,1
117,7.68,7,1,5,9,2,1
116,9.45,1,0,0,3,5,1
131,8.23,4,0,1,9,3,1
99,8.09,1,0,6,10,2,1
116,9.7,7,1,4,2,4,1
116,9.74,7,0,1,9,3,1
99,9.28,9,0,7,8,5,1
112,8.79,4,0,3,5,2,1
113,8.98,6,0,1,10,1,1
123,4.58,3,1,2,9,5,1
124,10.0,10,0,6,7,4,1
110,9.95,7,0,7,9,4,1
92,9.98,10,1,5,8,5,1
94,9.5,8,0,4,9,2,1
127,9.12,1,0,7,8,0,1
117,8.84,4,0,6,9,5,1
91,8.47,2,0,10,8,5,1
122,8.73,8,1,0,1,4,1
103,8.79,10,0,6,9,3,1
90,8.54,2,1,8,9,4,1
120,10.08,10,0,6,6,3,1
120,8.99,10,0,5,9,2,1
108,8.93,10,0,4,9,2,1
104,8.77,9,0,4,10,4,1
123,6.58,7,1,1,10,3,1
94,9.31,6,0,8,10,2,1
100,9.18,6,1,2,8,3,1
102,8.57,6,0,7,8,4,1
115,9.54,1,0,10,6,5,1
96,8.3,7,0,1,9,4,1
117,8.68,9,1,4,3,5,1
120,8.09,8,0,2,4,2,1
94,9.73,8,0,9,9,2,1
125,9.41,4,0,9,10,2,1
66,9.29,3,1,2,8,4,1
124,5.52,9,0,5,8,4,1
82,8.37,3,0,5,8,3,1
122,8.58,9,0,9,8,3,1
98,8.63,10,0,1,8,5,1
131,6.38,4,0,9,9,4,1
123,9.83,1,0,3,1,4,1
121,6.89,1,0,0,10,5,1
88,8.67,3,1,8,9,2,1
114,8.95,5,0,0,3,2,1
113,10.05,5,1,6,1,4,1
119,9.02,4,1,10,8,3,1
84,8.56,7,0,10,8,4,1
118,9.16,2,1,2,4,3,1
118,9.46,7,0,4,2,4,1
117,8.16,6,0,8,8,2,1
111,9.48,7,0,4,8,3,1
105,8.85,2,1,10,10,5,1
110,9.01,1,0,3,9,2,1
111,7.24,1,0,3,10,2,1
95,8.63,1,1,3,8,4,1
117,9.79,2,1,3,5,2,1
113,8.19,1,1,8,2,3,1
128,9.25,10,0,4,7,3,1
108,8.31,1,1,6,8,4,1
87,9.5,3,1,7,9,5,1
102,9.61,7,1,8,9,4,1
105,8.65,1,0,3,10,5,1
94,8.25,9,1,3,10,4,1
89,9.42,5,1,5,10,2,1
104,8.09,9,0,1,8,5,1
117,8.52,3,0,0,2,3,1
112,9.09,9,0,6,6,3,1
99,9.16,2,1,2,8,3,1
117,6.5,6,0,10,9,2,1
118,8.84,10,0,0,10,0,1
112,9.06,1,0,10,8,3,1
118,6.74,2,0,4,9,5,1
113,9.55,5,0,10,6,5,1
113,8.62,5,0,5,1,3,1
78,8.13,4,0,7,8,3,1
148,9.08,1,0,7,8,3,1
134,5.81,9,1,0,9,2,1
125,4.7,7,1,4,10,3,1
87,9.79,10,1,6,8,2,1
107,9.64,5,0,4,8,5,1
85,9.04,10,1,3,8,3,1
121,9.44,2,1,5,6,4,1
118,8.12,1,0,6,7,2,1
112,8.18,7,0,7,9,4,1
119,8.42,8,0,4,7,3,1
109,8.8,1,1,7,8,5,1
81,10.17,1,1,9,8,3,1
97,9.15,2,1,5,9,5,1
84,9.16,8,1,6,9,5,1
93,8.47,10,1,0,10,2,1
96,8.69,10,0,4,10,4,1
94,10.29,1,1,1,9,5,1
117,6.68,2,0,0,10,2,1
114,8.93,2,1,3,9,0,1
112,7.62,10,1,6,9,2,1
116,9.0,9,1,10,1,3,1
114,7.34,3,0,7,10,5,1
114,8.27,7,0,9,3,4,1
102,8.57,3,1,8,10,5,1
120,9.47,8,1,6,8,5,1
125,6.15,4,0,5,9,3,1
124,9.75,1,0,6,1,5,1
95,8.47,3,0,5,9,3,1
77,8.1,2,0,3,8,4,1
127,5.62,7,0,10,8,4,1
96,8.51,8,1,9,8,4,1
122,8.73,10,1,0,9,2,1
113,7.45,3,1,9,9,5,1
111,8.57,9,1,7,10,5,1
87,9.83,10,1,8,8,2,1
132,8.24,2,0,7,10,0,1
102,8.87,6,0,3,8,2,1
130,9.29,4,0,6,1,3,1
119,4.89,5,1,4,9,2,1
83,9.12,6,0,1,9,3,1
105,8.24,6,1,0,10,3,1
108,10.07,7,1,5,8,2,1
120,5.48,9,1,6,8,5,1
124,8.53,8,1,0,3,3,1
105,9.65,5,1,6,10,4,1
79,10.46,1,1,1,9,5,1
108,9.0,3,1,10,9,5,1
92,8.27,5,0,7,8,4,1
123,8.0,9,1,10,9,4,1
107,8.22,2,1,5,9,5,1
89,9.69,7,1,10,8,3,1
111,7.58,7,0,3,10,3,1
113,7.49,2,0,7,10,4,1
142,9.9,10,0,9,10,3,1
121,8.99,4,0,0,9,0,1
111,9.05,1,1,9,8,3,1
104,8.14,3,0,6,8,3,1
93,8.92,7,0,7,9,4,1
125,8.97,5,1,4,10,2,1
112,8.58,2,0,3,3,3,1
120,9.11,9,0,6,2,5,1
113,9.64,8,1,4,9,3,1
120,7.0,1,1,0,9,5,1
123,7.04,7,1,5,8,2,1
90,9.05,9,1,1,9,2,1
114,8.12,3,1,7,8,1,1
83,8.61,6,1,7,8,3,1
124,5.47,10,0,1,10,3,1
105,8.49,8,0,10,9,4,1
116,9.31,7,0,4,2,5,1
111,9.32,10,0,3,10,3,1
89,8.29,5,1,0,10,5,1
94,8.72,10,0,5,8,4,1
92,8.41,3,0,10,10,4,1
135,8.24,8,1,1,10,0,1
105,8.97,9,1,0,10,5,1
76,8.49,1,0,7,9,3,1
83,8.65,1,1,0,9,2,1
72,8.79,1,1,4,8,2,1
112,5.91,1,0,5,10,4,1
117,8.02,10,0,7,10,5,1
128,8.06,4,1,10,10,2,1
121,8.24,7,1,5,4,2,1
72,9.85,8,1,2,9,5,1
116,10.1,5,1,6,9,0,1
103,9.37,10,0,10,8,5,1
103,8.63,3,0,10,9,5,1
103,8.44,4,0,9,10,4,1
121,9.25,6,1,5,10,3,1
111,8.46,8,0,9,6,2,1
117,9.29,3,0,4,10,5,1
88,8.28,6,0,7,9,5,1
103,9.57,9,0,10,9,5,1
77,8.51,10,0,0,10,5,1
118,8.33,6,0,1,3,3,1
101,8.14,4,1,5,9,5,1
110,8.72,7,0,4,9,3,1
116,5.39,9,0,0,10,2,1
88,8.1,10,0,6,9,3,1
115,5.69,4,1,2,9,4,1
125,7.66,10,1,1,9,2,1
111,9.42,5,1,3,7,5,1
107,9.86,7,0,0,8,4,1
107,8.96,7,0,2,10,4,1
114,10.08,10,1,3,1,5,1
129,9.32,2,0,7,3,4,1
115,8.79,9,1,10,7,5,1
73,9.69,2,1,2,9,5,1
91,8.41,9,0,2,9,2,1
109,8.76,6,1,10,9,2,1
130,8.12,4,1,5,5,3,1
112,5.3,5,0,4,8,2,1
112,9.34,2,1,9,2,2,1
114,9.78,4,0,4,4,4,1
98,8.07,8,1,0,10,2,1
112,6.78,3,1,10,9,4,1
118,5.77,4,0,8,10,5,1
114,8.7,7,1,9,6,5,1
101,8.68,1,1,6,9,5,1
117,5.53,6,1,4,9,2,1
127,9.2,9,0,9,1,5,1
117,6.19,1,0,3,8,5,1
91,8.41,8,1,5,8,3,1
112,9.65,7,0,2,9,3,1
119,8.56,2,1,5,2,4,1
107,8.14,6,0,3,8,4,1
93,9.29,3,0,6,9,5,1
111,8.48,3,1,8,6,3,1
113,9.2,5,0,0,8,5,1
93,8.33,9,0,2,8,4,1
112,7.76,5,1,9,8,5,1
125,9.35,5,1,3,2,4,1
87,9.8,3,0,7,10,5,1
116,10.33,9,0,2,9,5,1
82,9.88,3,1,2,8,4,1
115,9.49,6,0,3,1,5,1
91,10.38,3,0,5,8,2,1
85,8.29,3,0,3,8,4,1
86,10.38,6,0,6,9,5,1
116,6.39,6,0,2,9,5,1
117,7.21,4,1,9,9,5,1
117,6.99,2,0,1,8,5,1
111,6.91,8,0,1,10,2,1
114,9.15,5,0,4,3,4,1
129,9.39,8,1,4,1,3,1
105,8.07,4,1,5,8,5,1
112,8.67,7,1,1,9,0,1
81,8.21,5,1,1,10,3,1
127,8.13,4,0,8,10,0,1
112,8.54,9,0,9,3,3,1
103,9.02,4,0,1,10,4,1
111,8.16,4,0,4,5,3,1
113,9.32,4,0,8,6,4,1
119,5.56,4,0,8,10,5,1
119,9.46,2,0,3,3,2,1
93,8.97,1,0,2,8,2,1
118,9.64,9,0,6,5,2,1
89,8.25,1,1,9,10,3,1
91,8.36,1,0,9,9,5,1
112,7.88,5,0,8,8,3,1
57,9.39,1,0,10,8,4,1
110,8.45,7,1,5,9,4,1
122,8.59,3,0,6,2,5,1
91,8.24,4,0,6,10,2,1
97,9.98,6,0,4,8,5,1
124,9.59,5,1,7,4,4,1
107,8.72,6,0,10,10,3,1
112,8.95,2,0,3,1,2,1
116,8.52,6,0,3,1,4,1
